,query,evalue
PproGo58_00010,b3702,0.0
PproGo58_00020,b3701,7.180000000000001e-145
PproGo58_00030,b3700,6.63e-96
PproGo58_00040,b3699,0.0
PproGo58_00130,b0200,2.51e-28
PproGo58_00140,b3559,0.0
PproGo58_00150,b3560,2.5e-178
PproGo58_00160,b3549,1.56e-58
PproGo58_00200,b3290,0.0
PproGo58_00210,b3289,7.02e-131
PproGo58_00220,b3288,2.69e-128
PproGo58_00230,b3287,8.26e-66
PproGo58_00240,b4473,1.16e-69
PproGo58_00250,b3282,3.03e-47
PproGo58_00260,b4051,1.03e-139
PproGo58_00270,b2436,8.98e-157
PproGo58_00280,b3281,6.29e-94
PproGo58_00310,b3678,1.23e-35
PproGo58_00370,b1260,1.5800000000000001e-43
PproGo58_00380,b1261,3.44e-151
PproGo58_00400,b3098,9.99e-13
PproGo58_00430,b3160,3.72e-127
PproGo58_00440,b1482,2.6700000000000003e-59
PproGo58_00510,b3279,1.48e-83
PproGo58_00520,b3498,0.0
PproGo58_00530,b4551,8.02e-12
PproGo58_00720,b0197,1.26e-62
PproGo58_00740,b0199,5.05e-109
PproGo58_00750,b1732,0.0
PproGo58_00770,b1859,2.03e-90
PproGo58_00780,b1858,1.44e-102
PproGo58_00790,b4046,6e-28
PproGo58_00800,b1857,2.79e-68
PproGo58_00830,b3863,0.0
PproGo58_00840,b3865,6.87e-68
PproGo58_00870,b3860,9.32e-22
PproGo58_00900,b0867,2.16e-56
PproGo58_00970,b4077,0.0
PproGo58_01050,b4020,0.0
PproGo58_01060,b2832,2.28e-82
PproGo58_01140,b2920,3.7299999999999996e-150
PproGo58_01150,b1602,1.23e-162
PproGo58_01170,b1603,6.68e-106
PproGo58_01240,b3252,7.95e-28
PproGo58_01350,b3711,4.4799999999999997e-23
PproGo58_01410,b0150,9.12e-148
PproGo58_01500,b3240,2.45e-30
PproGo58_01550,b1614,2.51e-46
PproGo58_01610,b2270,2.07e-171
PproGo58_01680,b4349,3.35e-14
PproGo58_01780,b2661,0.0
PproGo58_01790,b2662,0.0
PproGo58_01850,b3917,6.18e-149
PproGo58_01860,b2424,1.39e-81
PproGo58_01870,b2423,4.04e-97
PproGo58_01880,b2422,7.03e-117
PproGo58_01910,b1970,1.21e-41
PproGo58_02000,b3801,2.08e-28
PproGo58_02180,b0341,1.02e-88
PproGo58_02200,b0318,3.8399999999999997e-38
PproGo58_02260,b3088,3.76e-121
PproGo58_02390,b0198,2.81e-53
PproGo58_02460,b1917,6.259999999999999e-134
PproGo58_02470,b1918,4.3600000000000004e-117
PproGo58_02480,b1920,9.64e-126
PproGo58_02490,b1919,4.98e-142
PproGo58_02510,b0314,0.0
PproGo58_02540,b3001,8.050000000000001e-169
PproGo58_02650,b0116,8.26e-119
PproGo58_02660,b0368,8.16e-127
PproGo58_02670,b0367,1.5000000000000002e-107
PproGo58_02680,b0366,2.0900000000000002e-110
PproGo58_02690,b0365,7.73e-126
PproGo58_02700,b2688,2.83e-130
PproGo58_02720,b3407,0.0
PproGo58_02730,b3405,1.49e-117
PproGo58_02740,b3404,3.6899999999999996e-61
PproGo58_02750,b0852,8.71e-143
PproGo58_02770,b1163,3.6399999999999997e-34
PproGo58_02780,b3400,1.0299999999999999e-40
