,query,evalue
I9X27_00005,b3702,0.0
I9X27_00010,b3701,2.1200000000000003e-144
I9X27_00015,b3700,4.92e-94
I9X27_00020,b3699,0.0
I9X27_00030,b0200,1.8500000000000002e-29
I9X27_00040,b3559,0.0
I9X27_00045,b3560,6.69e-177
I9X27_00050,b3549,8.73e-66
I9X27_00065,b3471,5.97e-89
I9X27_00080,b3290,0.0
I9X27_00085,b3289,7.33e-137
I9X27_00090,b3288,2.32e-133
I9X27_00095,b3287,4.48e-64
I9X27_00105,b4473,7.92e-76
I9X27_00110,b3282,6.3699999999999994e-52
I9X27_00115,b4051,1.03e-137
I9X27_00120,b2436,1.8500000000000002e-157
I9X27_00125,b3281,2.68e-91
I9X27_00155,b3678,5.52e-35
I9X27_00180,b1260,3.1600000000000002e-43
I9X27_00185,b1261,1.14e-155
I9X27_00295,b4331,6.909999999999999e-76
I9X27_00320,b1482,7.619999999999999e-61
I9X27_00355,b3279,2.89e-79
I9X27_00360,b3498,0.0
I9X27_00365,b4551,1.01e-11
I9X27_00600,b2267,1.26e-56
I9X27_00640,b3243,1.14e-51
I9X27_00665,b4108,7.619999999999999e-54
I9X27_00670,b2663,0.0
I9X27_00715,b0605,3.37e-85
I9X27_00720,b0606,0.0
I9X27_00735,b2162,9.649999999999999e-74
I9X27_00760,b1623,8.480000000000001e-43
I9X27_00780,b1422,5.4000000000000005e-58
I9X27_00795,b1827,1.27e-35
I9X27_00850,b1013,1.2699999999999999e-52
I9X27_00855,b3848,1.37e-23
I9X27_00880,b1883,2.82e-145
I9X27_00890,b1884,4.9399999999999994e-89
I9X27_00895,b4355,4.63e-100
I9X27_00900,b1887,7.250000000000001e-70
I9X27_00905,b1888,5.24e-154
I9X27_00925,b4249,4.04e-74
I9X27_00930,b3801,2.61e-24
I9X27_00990,b1603,3.43e-92
I9X27_01000,b1602,6.45e-162
I9X27_01065,b0613,3.23e-32
I9X27_01145,b2800,2.87e-15
I9X27_01165,b1397,0.0
I9X27_01170,b2587,0.0
I9X27_01200,b0353,1.1399999999999999e-54
I9X27_01205,b4018,5.71e-28
I9X27_01210,b4280,2.21e-18
I9X27_01230,b3093,7.79e-44
I9X27_01345,b2661,0.0
I9X27_01350,b2662,0.0
I9X27_01405,b0909,2.72e-102
I9X27_01420,b2422,1.56e-121
I9X27_01425,b2423,4.17e-97
I9X27_01430,b2424,4.5e-80
I9X27_01435,b3917,5.91e-147
I9X27_01460,b2937,5.89e-59
I9X27_01470,b1025,3.38e-31
I9X27_01500,b1297,7.19e-136
I9X27_01505,b1298,3.62e-63
I9X27_01530,b0855,6.35e-158
I9X27_01535,b0856,4.11e-130
I9X27_01540,b0857,3.32e-107
I9X27_01590,b1918,1.97e-62
I9X27_01595,b1920,1.4999999999999998e-60
I9X27_01605,b2913,0.0
I9X27_01615,b1180,1.64e-74
I9X27_01625,b3024,3.26e-20
I9X27_01660,b4333,9.76e-49
I9X27_01665,b2753,6.36e-60
I9X27_01670,b0342,1.59e-12
I9X27_01675,b2080,6.09e-33
I9X27_01680,b2914,8.560000000000001e-97
I9X27_01715,b2830,1.79e-78
I9X27_01720,b2829,0.0
I9X27_01740,b2828,3.9400000000000003e-100
I9X27_01745,b2827,1.66e-146
I9X27_01770,b2239,2.04e-51
I9X27_01785,b0048,3.2500000000000004e-43
I9X27_01795,b3654,3.27e-169
I9X27_01800,b3771,0.0
I9X27_01805,b0967,2.54e-67
I9X27_01810,b3153,3.0500000000000003e-32
I9X27_01820,b3635,5.2899999999999997e-104
I9X27_01845,b2562,1.02e-27
I9X27_01850,b3634,1.63e-69
I9X27_01880,b3353,6.7e-76
I9X27_01890,b3465,6.42e-60
I9X27_01900,b1494,2.05e-15
I9X27_01905,b3464,1.68e-139
I9X27_01910,b3463,2.18e-83
I9X27_01915,b3462,7.090000000000001e-57
I9X27_01920,b3461,7.3200000000000005e-124
I9X27_01930,b3208,2.7600000000000002e-73
I9X27_01935,b2807,2.93e-22
I9X27_01945,b3991,2.0299999999999998e-68
I9X27_01950,b2960,1.91e-100
I9X27_01970,b2955,2.4199999999999997e-146
I9X27_01975,b2954,5.2899999999999994e-67
I9X27_02000,b2953,5.18e-31
I9X27_02005,b2952,3.2600000000000003e-32
I9X27_02010,b0386,1.2e-47
I9X27_02015,b2951,4.24e-83
I9X27_02020,b2950,2.16e-96
I9X27_02030,b0752,1.41e-53
I9X27_02045,b3939,1.5400000000000003e-110
I9X27_02055,b4245,4.3999999999999995e-42
I9X27_02065,b2949,8.2e-46
I9X27_02070,b2948,1.11e-50
I9X27_02080,b2947,5.09e-150
I9X27_02140,b2946,2.2499999999999998e-69
I9X27_02145,b0774,1.24e-102
I9X27_02155,b1057,2.3499999999999997e-82
I9X27_02160,b1056,5.32e-108
I9X27_02170,b0463,7.2e-136
I9X27_02175,b0462,0.0
I9X27_02180,b0572,5.7900000000000005e-117
I9X27_02185,b0797,1.66e-167
I9X27_02195,b3941,2.42e-71
I9X27_02230,b0337,0.0
I9X27_02235,b0336,0.0
I9X27_02240,b2147,5.81e-109
I9X27_02250,b2873,2.97e-99
I9X27_02260,b0516,2.56e-53
I9X27_02295,b0489,1.16e-38
I9X27_02305,b0960,1.03e-175
I9X27_02310,b1343,3.59e-176
I9X27_02315,b0623,5.800000000000001e-27
I9X27_02330,b3754,8.11e-154
I9X27_02355,b4398,1.74e-73
I9X27_02360,b4399,1.05e-151
I9X27_02365,b4400,8.26e-89
I9X27_02380,b3592,1.56e-25
I9X27_02425,b0511,3.66e-60
I9X27_02440,b3105,1.49e-25
I9X27_02455,b2976,0.0
I9X27_02470,b3819,6.91e-95
I9X27_02475,b3859,4.06e-90
I9X27_02480,b0761,7.34e-39
