,query,evalue
C3F42_00030,b4359,9.52e-14
C3F42_00070,b0751,7.7e-14
C3F42_00080,b3057,1.0900000000000001e-73
C3F42_00095,b1041,3.99e-13
C3F42_00135,b1385,6.0299999999999995e-146
C3F42_00145,b3800,2.15e-20
C3F42_00205,b3910,1.31e-44
C3F42_00245,b1772,2.1e-26
C3F42_00255,b3553,6.14e-111
C3F42_00295,b4324,1.8e-23
C3F42_00305,b3128,0.0
C3F42_00310,b2789,0.0
C3F42_00395,b2212,1.1e-76
C3F42_00405,b4506,2.65e-19
C3F42_00440,b3508,8.650000000000001e-26
C3F42_00465,b0318,5.3e-41
C3F42_00485,b1317,1.08e-15
C3F42_00530,b1781,8.35e-108
C3F42_00540,b2221,2e-58
C3F42_00545,b2222,3.83e-69
C3F42_00550,b2223,3.37e-65
C3F42_00605,b4331,4.3e-66
C3F42_00615,b2800,1.06e-17
C3F42_00690,b3439,4.06e-64
C3F42_00735,b0820,0.0
C3F42_00785,b3441,6.200000000000001e-37
C3F42_00790,b1335,3.54e-39
C3F42_00815,b2734,6.07e-33
C3F42_00820,b3823,3.07e-16
C3F42_00840,b3775,2.68e-29
C3F42_00965,b0830,2.64e-55
C3F42_01055,b1661,2.2800000000000003e-56
C3F42_01085,b2127,1.95e-21
C3F42_01095,b3153,3.1500000000000004e-32
C3F42_01100,b0871,3.48e-87
C3F42_01190,b2678,4.38e-68
C3F42_01195,b2677,3.4999999999999997e-113
C3F42_01450,b2976,0.0
C3F42_01455,b2977,3.12e-58
C3F42_01460,b4467,0.0
C3F42_01465,b4468,9.82e-168
C3F42_01470,b2979,0.0
C3F42_01475,b2980,1e-106
C3F42_01490,b0509,2.14e-132
C3F42_01495,b0508,5.1399999999999995e-108
C3F42_01685,b4290,1.86e-14
C3F42_01690,b0151,2.64e-63
C3F42_01735,b0593,3.11e-99
C3F42_01740,b0594,0.0
C3F42_01745,b0595,1.57e-85
C3F42_01750,b0596,1.2699999999999998e-89
C3F42_01770,b1399,5.8000000000000005e-86
C3F42_01775,b1400,2.47e-80
C3F42_01780,b1393,8.859999999999999e-93
C3F42_01785,b1394,3.59e-108
C3F42_01790,b1395,1.25e-138
C3F42_01795,b1396,2.87e-39
C3F42_01800,b1397,0.0
C3F42_01805,b1398,0.0
C3F42_01815,b1388,1.0000000000000001e-163
C3F42_01820,b1389,2.7e-39
C3F42_01825,b1390,4.52e-81
C3F42_01830,b1391,1.58e-54
C3F42_01835,b1392,3.93e-121
C3F42_01855,b1387,0.0
C3F42_01910,b0789,1.39e-143
C3F42_01915,b0788,2.64e-101
C3F42_01935,b3558,1.1e-114
C3F42_02010,b3003,3.11e-131
C3F42_02015,b0581,4.36e-27
C3F42_02085,b0350,2.34e-48
