amino_acid	enzyme
ala__L_c	generic_ala_ligase
arg__L_c	FIV02_02660-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	FIV02_06370-MONOMER
cys__L_c	FIV02_10495-MONOMER
gln__L_c	FIV02_10490-MONOMER
glu__L_c	FIV02_09740-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	FIV02_18260-MONOMER
ile__L_c	FIV02_04920-MONOMER
leu__L_c	FIV02_20200-MONOMER
lys__L_c	FIV02_17885-MONOMER
met__L_c	FIV02_07070-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	generic_pro_ligase
ser__L_c	FIV02_11575-MONOMER
thr__L_c	FIV02_14425-MONOMER
trp__L_c	generic_trp_ligase
tyr__L_c	FIV02_21215-MONOMER
val__L_c	FIV02_18545-MONOMER
